Year,Asia,Europe,North America,Oceania,South America,Africa
1750,0.0,9350528.0,0.0,0.0,0.0,0.0
1751,0.0,9350528.0,0.0,0.0,0.0,0.0
1752,0.0,9354192.0,0.0,0.0,0.0,0.0
1753,0.0,9354192.0,0.0,0.0,0.0,0.0
1754,0.0,9357856.0,0.0,0.0,0.0,0.0
1755,0.0,9361520.0,0.0,0.0,0.0,0.0
1756,0.0,10006384.0,0.0,0.0,0.0,0.0
1757,0.0,10010048.0,0.0,0.0,0.0,0.0
1758,0.0,10013712.0,0.0,0.0,0.0,0.0
1759,0.0,10017376.0,0.0,0.0,0.0,0.0
1760,0.0,10017376.0,0.0,0.0,0.0,0.0
1761,0.0,10973680.0,0.0,0.0,0.0,0.0
1762,0.0,10977344.0,0.0,0.0,0.0,0.0
1763,0.0,10981008.0,0.0,0.0,0.0,0.0
1764,0.0,10984672.0,0.0,0.0,0.0,0.0
1765,0.0,10988336.0,0.0,0.0,0.0,0.0
1766,0.0,12259744.0,0.0,0.0,0.0,0.0
1767,0.0,12263408.0,0.0,0.0,0.0,0.0
1768,0.0,12267072.0,0.0,0.0,0.0,0.0
1769,0.0,12270736.0,0.0,0.0,0.0,0.0
1770,0.0,12274400.0,0.0,0.0,0.0,0.0
1771,0.0,13611760.0,0.0,0.0,0.0,0.0
1772,0.0,13615424.0,0.0,0.0,0.0,0.0
1773,0.0,13619088.0,0.0,0.0,0.0,0.0
1774,0.0,13622752.0,0.0,0.0,0.0,0.0
1775,0.0,13626416.0,0.0,0.0,0.0,0.0
1776,0.0,15037056.0,0.0,0.0,0.0,0.0
1777,0.0,15040720.0,0.0,0.0,0.0,0.0
1778,0.0,15044384.0,0.0,0.0,0.0,0.0
1779,0.0,15048048.0,0.0,0.0,0.0,0.0
1780,0.0,15055376.0,0.0,0.0,0.0,0.0
1781,0.0,16843408.0,0.0,0.0,0.0,0.0
1782,0.0,16847072.0,0.0,0.0,0.0,0.0
1783,0.0,16854400.0,0.0,0.0,0.0,0.0
1784,0.0,16858064.0,0.0,0.0,0.0,0.0
1785,0.0,16865392.0,3664.0,0.0,0.0,0.0
1786,0.0,19148064.0,3664.0,0.0,0.0,0.0
1787,0.0,19155392.0,3664.0,0.0,0.0,0.0
1788,0.0,19159056.0,3664.0,0.0,0.0,0.0
1789,0.0,19166384.0,3664.0,0.0,0.0,0.0
1790,0.0,19173712.0,3664.0,0.0,0.0,0.0
1791,0.0,21416080.0,3664.0,0.0,0.0,0.0
1792,0.0,21892400.0,3664.0,0.0,0.0,0.0
1793,0.0,21910720.0,3664.0,0.0,0.0,0.0
1794,0.0,21877744.0,3664.0,0.0,0.0,0.0
1795,0.0,21888736.0,3664.0,0.0,0.0,0.0
1796,0.0,22947632.0,3664.0,0.0,0.0,0.0
1797,0.0,24090800.0,3664.0,0.0,0.0,0.0
1798,0.0,25091072.0,3664.0,0.0,0.0,0.0
1799,0.0,26424768.0,3664.0,0.0,0.0,0.0
1800,0.0,27835408.0,256480.0,0.0,0.0,0.0
1801,0.0,27688848.0,271136.0,0.0,0.0,0.0
1802,0.0,36489776.0,293120.0,0.0,0.0,0.0
1803,0.0,31187968.0,300448.0,0.0,0.0,0.0
1804,0.0,33972608.0,337088.0,0.0,0.0,0.0
1805,0.0,33074928.0,344416.0,0.0,0.0,0.0
1806,0.0,34709072.0,337088.0,0.0,0.0,0.0
